487465.00 113315.00
487464.94 113315.50
487464.89 113315.99
487464.83 113316.49
487464.77 113316.99
487464.72 113317.48
487464.66 113317.98
487464.60 113318.48
487464.55 113318.97
487464.49 113319.47
487464.43 113319.97
487464.38 113320.46
487464.32 113320.96
487464.26 113321.46
487464.21 113321.96
487464.15 113322.45
487464.10 113322.95
487464.04 113323.45
487463.98 113323.94
487463.93 113324.44
487463.87 113324.94
487463.81 113325.43
487463.76 113325.93
487463.70 113326.43
487463.64 113326.92
487463.59 113327.42
487463.53 113327.92
487463.47 113328.41
487463.42 113328.91
487463.36 113329.41
487463.30 113329.90
487463.25 113330.40
487463.19 113330.90
487463.13 113331.39
487463.08 113331.89
487463.02 113332.39
487462.96 113332.88
487462.91 113333.38
487462.85 113333.88
487462.79 113334.37
487462.74 113334.87
487462.68 113335.37
487462.63 113335.87
487462.57 113336.36
487462.51 113336.86
487462.46 113337.36
487462.40 113337.85
487462.34 113338.35
487462.29 113338.85
487462.23 113339.34
487462.17 113339.84
487462.12 113340.34
487462.06 113340.83
487462.00 113341.33
487461.95 113341.83
487461.89 113342.32
487461.83 113342.82
487461.78 113343.32
487461.72 113343.81
487461.66 113344.31
487461.61 113344.81
487461.55 113345.30
487461.49 113345.80
487461.44 113346.30
487461.38 113346.79
487461.32 113347.29
487461.27 113347.79
487461.21 113348.29
487461.15 113348.78
487461.10 113349.28
487461.04 113349.78
487460.99 113350.27
487460.93 113350.77
487460.87 113351.27
487460.82 113351.76
487460.76 113352.26
487460.70 113352.76
487460.65 113353.25
487460.59 113353.75
487460.53 113354.25
487460.48 113354.74
487460.42 113355.24
487460.36 113355.74
487460.31 113356.23
487460.25 113356.73
487460.19 113357.23
487460.14 113357.72
487460.08 113358.22
487460.02 113358.72
487459.97 113359.21
487459.91 113359.71
487459.85 113360.21
487459.80 113360.70
487459.74 113361.20
487459.68 113361.70
487459.63 113362.20
487459.57 113362.69
487459.52 113363.19
487459.46 113363.69
487459.40 113364.18
487459.35 113364.68
487459.29 113365.18
487459.23 113365.67
487459.18 113366.17
487459.12 113366.67
487459.06 113367.16
487459.01 113367.66
487458.95 113368.16
487458.89 113368.65
487458.84 113369.15
487458.78 113369.65
487458.72 113370.14
487458.67 113370.64
487458.61 113371.14
487458.55 113371.63
487458.50 113372.13
487458.44 113372.63
487458.38 113373.12
487458.33 113373.62
487458.27 113374.12
487458.21 113374.62
487458.16 113375.11
487458.10 113375.61
487458.04 113376.11
487457.99 113376.60
487457.93 113377.10
487457.88 113377.60
487457.82 113378.09
487457.76 113378.59
487457.71 113379.09
487457.65 113379.58
487457.59 113380.08
487457.54 113380.58
487457.48 113381.07
487457.42 113381.57
487457.37 113382.07
487457.31 113382.56
487457.25 113383.06
487457.20 113383.56
487457.14 113384.05
487457.08 113384.55
487457.03 113385.05
487456.97 113385.54
487456.91 113386.04
487456.86 113386.54
487456.80 113387.03
487456.74 113387.53
487456.69 113388.03
487456.63 113388.53
487456.57 113389.02
487456.52 113389.52
487456.46 113390.02
487456.41 113390.51
487456.35 113391.01
487456.29 113391.51
487456.24 113392.00
487456.18 113392.50
487456.12 113393.00
487456.07 113393.49
487456.01 113393.99
487455.95 113394.49
487455.90 113394.98
487455.84 113395.48
487455.78 113395.98
487455.73 113396.47
487455.67 113396.97
487455.61 113397.47
487455.56 113397.96
487455.50 113398.46
487455.44 113398.96
